subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{TA, VPD, SW_IN, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, LST_Night, NIRv}",1.5389632624105815e-07,0.05839624061327862,0.051645197084578376,0.06127187378693143,0.02884012044382071,0.0018787251865852658,0.0018953937762739709,0.0017717034652048463,0.0010517792614172863,0.002245502308851219
"{TA, SW_IN, dSW_IN_POT_daily, LST_Day, LST_Night, NIRv, PFT}",1.9924669588854567e-06,0.055152591042520925,0.05365649804028707,0.0585066101851056,0.0489051740544845,0.001219758909061723,0.0028909154238853374,0.0019377272057890388,0.0005528634377631875,0.004597955368863552
"{VPD, SW_IN, SW_IN_POT_daily, LST_Day, LST_Night, EVI, NDWI_SWIR2, PFT}",1.5131065907637306e-06,0.0541335170459624,0.051513245739917335,0.056947763444038686,0.14469902371923413,0.002145894028437477,0.002828448428564903,0.0017232665325565416,0.0014859081625394344,0.004901896815637338
"{VPD, SW_IN, EVI, NDWI_SWIR2}",7.826669880513471e-07,0.06270212983427925,0.05720249606282066,0.06043514578192129,0.1187953613719553,0.0027434505874687626,0.0035131054250284732,0.0020322826184845932,0.004173716464643859,0.0044019329647178446
"{TA, VPD, SW_IN, PFT}",6.759136860118249e-06,0.06682703173644934,0.057754688131167346,0.07320910679921634,-0.1909443305685676,0.00750865646625877,0.00383327809823307,0.0010367254431292994,0.0017080262714614866,0.0067501136450597715
"{VPD, SW_IN, dSW_IN_POT, dSW_IN_POT_daily, EVI, NIRv, PFT}",1.5718307369059822e-06,0.0561054049664475,0.05535116128794869,0.0613402451161264,0.13383321303530202,0.0023150223819356844,0.0029943795403466825,0.0016942626820724005,0.0020578667297294073,0.005214113967516837
"{SW_IN, SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT, dSW_IN_POT_daily, LST_Night, EVI, NIRv, PFT}",8.419741178371619e-07,0.05470240478437007,0.05310687282059301,0.05992632263024113,0.0685164995612394,0.0014141163651341868,0.0016732370682258774,0.0015286990528422112,0.00040480919287816386,0.0032589291380553664
"{VPD, SW_IN, dSW_IN_POT_daily, LST_Day, EVI, NIRv, PFT}",1.6973317540627156e-06,0.05533935415881478,0.05443671564879257,0.0583434513835049,0.10934842877814455,0.0021579669825984096,0.0024964156444321275,0.0014065617516067358,0.0015350699603858403,0.0049989529629437535
"{TA, VPD, SW_IN_POT, SW_IN_POT_daily, LST_Day, EVI, NIRv, NDWI_SWIR2, PFT}",2.824558355584854e-06,0.05816262958091374,0.05388302955350227,0.06221874522659861,0.09243696445147187,0.0020103454747179145,0.003289367873842014,0.0023918513418101778,0.0012248181331412158,0.006088451255060037
"{SW_IN, SW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, EVI, NIRv, NDWI_SWIR2}",3.575024476519243e-07,0.05742657559156316,0.05286790477397358,0.059365713066308515,0.022606011670489423,0.0023611147888975767,0.0022872159813298876,0.0017380096171224976,0.0011432349163578298,0.002899285417383185
"{TA, VPD, SW_IN_POT_daily, NIRv, NDWI_SWIR2, PFT}",1.2956832644756636e-06,0.08065825114217792,0.0737033074457944,0.09065981828324972,-0.5458449536579116,0.00011732961884897142,0.0020596790764079997,0.0010852395413403354,0.0013410641017360739,0.003534049517627147
"{TA, SW_IN, SW_IN_POT, SW_IN_POT_daily, LST_Day, LST_Night, NDWI_SWIR2}",1.1244536528790076e-06,0.06015538865250558,0.05537423667908577,0.0638477002044416,-0.05009062583827869,0.004584154839247026,0.0020272492273662596,0.002451847369257368,0.0014436020227974328,0.0025912993408155616
"{SW_IN_POT, SW_IN_POT_daily, LST_Day, PFT}",4.537158523741758e-06,0.07427027949940154,0.07656799799376662,0.07322249506292376,-0.08012850462399528,0.006207076452268444,0.0025619635107435312,0.004445351665150574,0.001056201205108985,0.006655948720886776
"{SW_IN_POT_daily, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, EVI, NIRv, NDWI_SWIR2, PFT}",1.2953102947903374e-06,0.08094367106457523,0.07882130965855852,0.09737556320291066,-0.101799533672624,0.0007533715540684327,0.00288604087482891,0.0009039331426253516,0.0029385094924721175,0.00349925030828252
"{TA, SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily, EVI, NIRv, NDWI_SWIR2}",4.7555540095116786e-07,0.06304820945273455,0.060602145394096085,0.07690677457725612,-0.2099813098648651,0.001511100423516501,0.00236971332336669,0.002687774730505549,0.0016473115741022365,0.003384527656405442
"{TA, VPD, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, LST_Night, NIRv, NDWI_SWIR2, PFT}",6.978597895551216e-07,0.07853937366047105,0.07193089774336658,0.08854522252770505,-0.5595890683368757,0.00037666645211756333,0.0017877066695821953,0.0009370315619183639,0.0005200132984403,0.002594197023240402
"{TA, VPD, SW_IN, SW_IN_POT, LST_Day, LST_Night, EVI, NIRv, PFT}",2.090630886826677e-06,0.05497009725695397,0.052109082447211,0.05824023280525822,0.1333986353296325,0.0018020554019282792,0.0025099759682200573,0.001426050881524553,0.000629624868773021,0.0048730558354715126
